Total_loss: 6.992668962478637	 Hash_loss: 6.135647630691528	 Classsifier_loss: 2.174525737762451	 Entropy_loss: -2.3024147272109987
Total_loss: 6.646861982345581	 Hash_loss: 5.911806964874268	 Classsifier_loss: 1.930551540851593	 Entropy_loss: -2.3022086143493654
Total_loss: 6.494379043579102	 Hash_loss: 5.825552749633789	 Classsifier_loss: 1.7980708956718445	 Entropy_loss: -2.302091121673584
Total_loss: 6.387389898300171	 Hash_loss: 5.772308731079102	 Classsifier_loss: 1.6905649185180665	 Entropy_loss: -2.3020126819610596
Total_loss: 6.304013967514038	 Hash_loss: 5.734415292739868	 Classsifier_loss: 1.5995901703834534	 Entropy_loss: -2.301963543891907
Total_loss: 6.226658344268799	 Hash_loss: 5.695382833480835	 Classsifier_loss: 1.5229382395744324	 Entropy_loss: -2.301935148239136
Total_loss: 6.164563226699829	 Hash_loss: 5.6645745754241945	 Classsifier_loss: 1.4603599071502686	 Entropy_loss: -2.3019125938415526
Total_loss: 6.109919261932373	 Hash_loss: 5.636312961578369	 Classsifier_loss: 1.40759117603302	 Entropy_loss: -2.3018926620483398
Total_loss: 6.066813516616821	 Hash_loss: 5.614464187622071	 Classsifier_loss: 1.3650736212730408	 Entropy_loss: -2.301874303817749
Total_loss: 6.0280961990356445	 Hash_loss: 5.594563293457031	 Classsifier_loss: 1.3274373292922974	 Entropy_loss: -2.3018574476242066
Total_loss: 5.987121629714966	 Hash_loss: 5.57331690788269	 Classsifier_loss: 1.2879774928092957	 Entropy_loss: -2.301839804649353
Total_loss: 5.953694438934326	 Hash_loss: 5.555420637130737	 Classsifier_loss: 1.2569129705429076	 Entropy_loss: -2.301826810836792
Total_loss: 5.92974853515625	 Hash_loss: 5.544379949569702	 Classsifier_loss: 1.2310983896255494	 Entropy_loss: -2.301806163787842
Total_loss: 5.903946447372436	 Hash_loss: 5.530674076080322	 Classsifier_loss: 1.2069032788276672	 Entropy_loss: -2.301793074607849
